date,"Inflow mln, AMD","Inflow thousand, USD","Inflow of which non-commercial mln, AMD","Inflow of which non-commercial thousand, USD","Outflow mln, AMD","Outflow thousand, USD","Outflow of which non-commercial mln, AMD","Outflow of which non-commercial thousand, USD"
2022-09-01,226175.969073,551552.368714,79638.259914,194300.131997,99519.344741,242527.935965,16457.223301,40208.768249
2022-10-01,248985.197317,618050.776086,72450.554786,179841.366118,117286.814887,291127.491721,14048.299032,34892.114683
2022-11-01,205558.993221,519853.406539,68472.895144,173135.412864,116471.125568,294532.051465,13586.222633,34357.431082
2022-12-01,233095.414776,590931.746103,69020.251849,174993.155129,114038.086921,289069.261991,16673.473671,42265.833272
2023-01-01,152884.446613,386084.915364,41031.110726,103634.640687,85455.194763,215892.911334,11903.167314,30075.915146
2023-02-01,280712.512698,713945.783135,43283.950143,110018.566033,150740.179528,381820.230461,11654.413467,29617.636712
2023-03-01,187387.791562,482433.023014,48918.889781,125971.533281,167648.420876,431561.420612,15024.856049,38682.616507
2023-04-01,179414.041034,462615.477827,42394.555394,109317.511831,114811.817399,296060.100384,15269.769725,39390.747364
2023-05-01,168332.82633,435420.253418,50618.991174,130944.072985,149922.282793,387866.012607,15579.459762,40300.392085
2023-06-01,171898.675458,444586.413568,49496.789923,128040.464788,121508.052832,314201.394702,14258.196876,36876.984943
2023-07-01,145895.194878,377303.169659,45115.692255,116738.092564,94298.100918,243954.779012,13174.773054,34084.333606
2023-08-01,199816.678183,517483.047362,41684.714177,107943.158912,121690.420324,315103.535597,14886.49816,38547.797492
2023-09-01,172021.492147,444429.023202,36358.989422,93947.36658,134408.747288,347456.404138,14548.354375,37595.63881
2023-10-01,219225.28039,543264.718322,40110.954097,99086.82854,168690.566934,417880.680325,16391.28928,40551.690483
2023-11-01,165734.731955,411689.963853,35301.846336,87686.725086,149777.673279,372065.216747,14684.173285,36477.567448
2023-12-01,192618.424881,476270.834259,41375.51041,102275.348464,128211.424698,316951.266084,13425.83905,33193.971092
2024-01-01,146066.549918,360737.624471,28312.444107,69915.076931,132770.556502,327915.0229,16377.52332,40455.290339
2024-02-01,165928.485976,410499.661407,30396.258239,75179.565597,117021.390891,289457.295766,15200.133581,37600.113315
2024-03-01,177695.028418,443514.348951,32233.918434,80391.574499,127650.198989,318819.695726,15346.755786,38293.948677
2024-04-01,178785.16422,457671.310905,31784.055754,81403.826287,159714.797111,408710.200512,13846.014691,35397.289833
2024-05-01,161292.496236,415992.959057,33376.730905,86064.733583,114083.359133,294146.670001,13792.270652,35563.077101
2024-06-01,169399.621442,436468.477559,31565.447213,81336.588393,112695.386269,290427.302378,12429.793779,32025.226928
2024-07-01,188536.005225,485873.201292,34854.889922,89819.20952,125180.084042,322592.590274,15053.994816,38791.752604
2024-08-01,214015.75341,551304.87364,35408.976802,91238.704371,201535.325297,519249.740627,13497.129917,34776.139737
2024-09-01,155664.35366,401828.873917,33887.281895,87484.945488,117997.758829,304592.622924,12262.101743,31655.210799
2024-10-01,215625.407471,556840.398778,32947.734867,85081.531557,153642.090044,396823.432414,14827.910615,38292.746083
2024-11-01,177881.459083,456136.317102,31069.27281,79909.812734,147719.806739,379714.051037,15510.015486,39825.170037
2024-12-01,341253.545482,860227.986148,41855.753166,105623.492181,188355.681743,475273.311178,14791.908532,37317.061095
2025-01-01,150242.3165278,377512.35958342,27125.190059972,68175.300027987,142809.36994539,358802.61107764,13359.88668428,33579.693084828
2025-02-01,185286.2731212,467800.76062669,30215.191747767,76354.44261776,157850.02484472,398978.70270405,12551.152492562,31722.299478001
2025-03-01,167522.80104823,426477.8201941,33662.497529387,85705.497485039,145556.44408404,370321.45631586,13226.717327487,33673.169272966
2025-04-01,195435.14595691,500211.5520979,38738.235866239,99130.185516637,144730.6104454,370493.7756821,14825.55867058,37955.325446794
2025-05-01,206022.25168503,532876.5798485,35840.747424743,92642.783396529,113837.90787004,294560.41164262,12477.942562754,32272.403447746
2025-06-01,173448.65480123,451308.90369256,37903.618391831,98651.680817406,144266.90900059,375413.97828234,14895.244192575,38768.364612512
2025-07-01,204785.85384769,533211.29727433,45198.370475422,117689.90923218,155237.87371296,404209.38124104,17306.507231792,45063.751576467
2025-08-01,174600.23157591,455579.570336,42831.370896109,111745.37407666,108396.6072636,282873.32407775,14897.779590131,38875.882043276
2025-09-01,194255.48661118,507440.58770677,39825.453297975,104022.06566138,142144.41629952,371323.60089604,14992.182782052,39160.921063628
2025-10-01,194917.72941307,509304.79665742,39403.91589711,102939.24745128,148190.25494443,387188.59798183,15902.243827797,41548.594821199
2025-11-01,190367.89694637,498462.91852522,33992.993972024,88964.5571912,123010.419533,321550.38144671,14310.168165096,37332.800321432
2025-12-01,274630.20905478,719693.80442081,46118.625071693,120885.95347022,154377.17858765,404635.91750639,16362.424568487,42891.791742965
2026-01-01,189710.30876408,499403.06940088,30341.184366822,79853.009303827,125399.36103447,330290.50547077,11445.976553475,30128.711011151
2026-02-01,171481.85652621,454118.98376564,32726.446135146,86704.387557362,120913.22691824,320238.23529399,15005.565873326,39735.6082547
