date,"Currency in circulation mln, AMD","Demand deposits in drams mln, AMD","M1 mln, AMD","Time deposits in drams mln, AMD","M2 mln, AMD","Deposits in foreign currency mln, AMD","M2X mln, AMD"
2021-07-01,624684.3087042,652046.47466614,1276730.7833703,1013700.0185436,2290430.8019139,1258551.6071256,3548982.4090396
2021-08-01,631740.9256551,649748.60290204,1281489.5285571,1030457.5054132,2311947.0339703,1311157.0861459,3623104.1201163
2021-09-01,617491.8953151,651226.0249527,1268717.9202678,1046825.7772849,2315543.6975526,1290003.7308895,3605547.4284421
2021-10-01,611613.0293204,663662.18454465,1275275.2138651,1065420.2620199,2340695.4758849,1309780.2222563,3650475.6981412
2021-11-01,596803.4014613,664433.12908519,1261236.5305465,1073840.9456535,2335077.4762,1314928.0607686,3650005.5369686
2021-12-01,636087.7607305,731215.97906687,1367303.7397974,1095528.2364883,2462831.9762857,1339774.071612,3802606.0478977
2022-01-01,581244.3994061,693873.18969936,1275117.5891055,1121345.2308158,2396462.8199213,1339232.1807563,3735695.0006776
2022-02-01,560377.3638484,692190.27282512,1252567.6366735,1132112.388319,2384680.0249925,1371984.9123442,3756664.9373367
2022-03-01,560377.3638484,701904.84065744,1286742.6050314,1128286.2762701,2415028.8813015,1388970.2850642,3803999.1663657
2022-04-01,577186.4932757,713991.11707854,1291177.6103542,1133169.0094751,2424346.6198293,1301344.5516071,3725691.1714364
2022-05-01,583031.7944404,735798.73159963,1318830.52604,1135750.208838,2454580.734878,1361002.0389014,3815582.7737794
2022-06-01,610647.6138274,753363.84186517,1364011.4556926,1124262.516289,2488273.9719815,1325745.2314843,3814019.2034658
2022-07-01,611995.5038775,803589.4269665,1415584.930844,1093111.2544584,2508696.1853024,1387507.379835,3896203.5651374
2022-08-01,622637.3622438,843465.00841215,1466102.3706559,1094548.5531953,2560650.9238512,1397256.9950223,3957907.9188735
2022-09-01,638550.793144,836332.23269002,1474883.025834,1090893.2370547,2565776.2628887,1484205.8774176,4049982.1403063
2022-10-01,635566.4202909,890450.18952653,1526016.6098174,1093004.7304392,2619021.3402566,1507019.9309213,4126041.271178
2022-11-01,639423.9899415,918858.84075337,1558282.8306949,1115841.6160423,2674124.4467371,1571276.6257684,4245401.0725055
2022-12-01,675702.7147587,1004292.3819134,1679995.0966721,1113734.0412694,2793729.1379415,1621243.4978826,4414972.6358242
2023-01-01,631494.2697626,954521.71527765,1586015.9850403,1135181.2977409,2721197.2827812,1626545.1879104,4347742.4706915
2023-02-01,624205.5801414,967918.49921305,1592124.0793545,1158420.204509,2750544.2838635,1671753.9864861,4422298.2703496
2023-03-01,630901.3871464,1018701.9962917,1649603.3834381,1170171.5955139,2819774.978952,1678045.0390122,4497820.0179643
2023-04-01,645789.9038974,999942.20885223,1645732.1127496,1185570.9521028,2831303.0648525,1688284.7178142,4519587.7826667
2023-05-01,665454.7795496,1030750.6967587,1696205.4763083,1244209.2105545,2940414.6868627,1627655.321709,4568070.0085717
2023-06-01,692253.7794065,1062067.2051692,1754320.9845757,1257482.0334507,3011803.0180263,1621068.9246235,4632871.9426498
2023-07-01,719383.4255375,1079746.5971058,1799130.0226432,1292506.4700609,3091636.4927042,1636431.0286505,4728067.5213546
2023-08-01,727707.6247126,1109637.7838124,1837345.408525,1329245.4157787,3166590.8243037,1675025.7813312,4841616.6056349
2023-09-01,729689.8802,1102605.379379,1832295.259579,1322219.972136,3154515.2317151,1717750.4149884,4872265.6467035
2023-10-01,742161.9490916,1119523.6518058,1861685.6008974,1351433.2888968,3213118.8897942,1781207.6203387,4994326.5101329
2023-11-01,734960.4703301,1154875.1595449,1889835.629875,1353606.747309,3243442.3771841,1775358.4687301,5018800.8459142
2023-12-01,778133.2103897,1271859.5945932,2049992.8049829,1360113.0382944,3410105.8432773,1771811.9366381,5181917.7799154
2024-01-01,737963.4985295,1177029.4137346,1914992.9122641,1388681.9873825,3303674.8996466,1762411.4719465,5066086.3715931
2024-02-01,731217.7354926,1192448.8767108,1923666.6122034,1411880.4216414,3335547.0338448,1778919.1665219,5114466.2003667
2024-03-01,731731.0134462,1186286.6213771,1918017.6348233,1431981.3685886,3349999.003412,1716423.9629755,5066422.9663874
2024-04-01,721676.5123303,1162722.9066672,1884399.4189975,1449153.8836479,3333553.3026454,1674450.7981806,5008004.1008261
