date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2021-07-01,624639.0432248,651007.0341736267,1275646.0773984,1030327.7670805667,2305973.844478933,1286570.8080536667,3592544.652532667,96200.61577466666,196213.10493366665,66998.68461899999,136606.379431,49228.79550266667,100436.61176266667,12552.195591000002,25604.324734666665,46971.820272000004,95776.493171
2021-10-01,614834.7305040667,686437.09756557,1301271.8280696666,1078263.1480539,2379534.9761235337,1321494.1182123001,3701029.0943358336,91713.28311333334,190710.07336633335,61192.000456,127292.30903399999,57570.35774966667,119675.77181266667,13942.660091333333,28989.049157,34142.92536366667,71034.30155366665
2022-01-01,567333.0423676333,695989.4343939734,1271475.9436034665,1127247.9651349664,2398723.908738433,1366729.1260549,3765453.0347933336,91207.65326833334,186884.95319,41263.373224333336,84786.00342033333,60208.58478900001,123453.81248899999,15070.208091666665,30771.01588766667,30999.068479333335,63431.140701
2022-04-01,590288.6338478333,734384.5635144467,1324673.1973622667,1131060.5782007,2455733.775562933,1329363.9406642667,3785097.7162272,193270.52707533332,435167.30156833335,89772.56871933333,201772.02199200002,74405.11323133334,167313.06672666667,13761.939037666665,30748.204873333336,118865.41384400001,267854.23484166665
2022-07-01,624394.5530884332,827795.5560228899,1452190.1091113,1092851.0149028,2545041.1240141,1422990.0840916333,3968031.208105733,216945.58239899998,530518.6516833333,83201.35599933333,203465.08002666666,116854.51204,285314.440433,16398.497323333333,40147.411094999996,100091.070359,245204.21125033335
2022-10-01,650231.0416637,937867.1373977667,1588098.1790614668,1107526.7959169666,2695624.9749784,1566513.3515241,4262138.326502566,229213.20177133335,576278.6429093333,69981.23392633333,175989.97803700002,115932.00912533334,291576.26839233335,14769.331778666667,37171.793012333335,113281.192646,284702.374517
2023-01-01,628867.0790168,980380.7369274668,1609247.8159443,1154591.0325879334,2763838.8485322334,1658781.4044695667,4422620.253001801,206994.91695766666,527487.907171,44411.31688333334,113208.246667,134614.59838900002,343091.5208023333,12860.812276666666,32792.05612166666,72380.31856866667,184396.3863686667
2023-04-01,667832.8209511667,1030920.03692671,1698752.8578778666,1229087.3987026669,2927840.2565805,1645669.6547155667,4573509.911296067,173215.18094066667,447540.71493766666,47503.445497,122767.349868,128747.38434133334,332709.169231,15035.808787666667,38856.041464,44467.79659933334,114831.54570666667
2023-07-01,725593.6434833667,1097329.9200990666,1822923.5635823999,1314657.2859918668,3137580.8495743335,1676402.408323367,4813983.257897667,172577.7884026667,446405.08007433335,41053.13195133334,106209.53935199999,116799.08951,302171.5729156667,14203.208529666668,36742.58996933333,55778.69889266667,144233.50715866667
2023-10-01,751751.8766038,1182086.1353146334,1933838.0119184332,1355051.0248334,3288889.0367518663,1776126.0085689668,5065015.045320834,192526.145742,477075.1721446667,38929.43694766667,96349.63403,148893.221637,368965.721052,14833.767205000002,36741.076341,43632.924105,108109.45109266667
2024-01-01,733637.4158227667,1185254.9706074998,1918892.3864302665,1410847.9258708332,3329740.3123011333,1752584.8671479665,5082325.1794490665,163230.02143733334,404917.2116096667,30314.206926666666,75162.07234233333,125814.048794,312064.0047973333,15641.470895666667,38783.11744366667,37415.972643333334,92853.20681233333
2024-04-01,742311.1109782667,1220167.0089864666,1962478.1199647335,1460398.6219473332,3422876.741912067,1740814.4290184,5163691.1709305,169825.76063266667,436710.9158403333,32242.07795733333,82935.049421,128831.18083766666,331094.72429700004,13356.026374,34328.53128733334,40994.579795000005,105616.19154333335
2024-07-01,801118.6003360668,1288008.8157304002,2089127.4160664666,1546492.6952643667,3635620.1113308333,1782599.7713172666,5418219.8826481,186072.03743166666,479668.9829496667,34717.04953966667,89514.28645966668,148237.72272266666,382144.9846083333,13604.408825333332,35074.36771333333,37834.314709,97523.99834133334
2024-10-01,812019.7693087667,1392203.9674323334,2204223.7367411,1670193.8318512335,3874417.5685923337,1828264.8866783332,5702682.4552707,244920.13734533335,624401.5673426667,35290.920281,90204.94549066667,163239.19284200002,417270.26487633336,15043.278210999999,38478.32573833333,81680.94450333333,207131.30246633335
2025-01-01,808488.9348400333,1402225.8541611666,2210714.7890012,1751705.7466666668,3962420.5356678665,1838855.4175513666,5801275.953219234,167683.79689907667,423930.31346807,30334.293112375333,76745.08004359533,148738.61295805,376034.2566991833,13045.918834776334,32991.72061193167,18945.183941026666,47896.056768886665
2025-04-01,854196.1328702,1428837.6931759,2283033.8260461,1880222.1682253333,4163255.9942714334,1828801.0604843001,5992057.054755733,191635.35081439,494799.0118796534,37494.200560937665,96808.21657685733,134278.47577201002,346822.72186901997,14066.248475303,36332.03116901733,57356.87504238001,147976.29001063333
2025-07-01,922346.6662970666,1482607.5949121667,2404954.261209233,2020266.434000333,4425220.6952095665,1850733.6791706,6275954.374380167,191213.85734492668,498743.81843903335,42618.39822316867,111152.44965673999,135259.63242536,352802.10207161,15732.156534658332,41033.51822779033,55954.22491956667,145941.71636742336
2025-10-01,962697.2021797667,1577110.5741537667,2539807.776333533,2217817.371978,4757625.148311533,1935713.6040990667,6693338.752410599,219971.94513807332,575820.5065344833,39838.51164694233,104263.25270423334,141859.28435502667,371124.96564497665,15524.94552046,40591.062295198666,78112.66078304667,204695.54088950666
2026-01-01,944597.64371375,1581417.3898639,2526015.03357765,2387248.534894,4913263.56847165,1940512.66406745,6853776.232539101,180596.082645145,476761.02658326004,31533.815250984,83278.6984305945,123156.293976355,325264.37038238,13225.771213400501,34932.1596329255,57439.788668789995,151496.65620088
