date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2017-09-01,413430.4554114,288048.31895709,701478.77436849,526101.41760257,1227580.1919711,1150269.1120035,2377849.3039746,76696.261113,160351.293101,58047.613062,121371.871469,42839.653083,89580.849376,12140.651747,25386.878239,33856.60803,70770.44372499999
2017-10-01,416951.896333,298979.2044486,715931.1007816,539187.33349131,1255118.4342729,1178866.6212423,2433985.0555152,78344.922907,162978.586127,60315.731919,125485.006759,51684.591664,107510.127807,12793.806601,26629.630049,26660.331243,55468.45831999999
2017-11-01,411964.9997231,302476.69553262,714441.69525572,556646.52381182,1271088.2190675,1196196.4687733,2467284.6878408,79505.330456,163807.598437,53869.545593,110976.095529,46188.051874,95191.355366,12819.892721,26410.092724,33317.278582,68616.243071
2017-12-01,445155.180902,343646.74946561,788801.93036761,595074.22559462,1383876.1559622,1198907.0161024,2582783.1720646,94198.390998,194956.736212,63732.684196,131903.392581,55807.536015,115413.78243,14608.558847,30236.873408,38390.854983000005,79542.95378199998
2018-01-01,408019.9234555,328832.16180921,736852.08526471,602022.4979346,1338874.5831993,1199759.274569,2538633.8577684,45678.253087,94671.745402,32677.37109,67727.838278,35849.762119,74346.944644,9360.134355,19407.316813,9828.490967999998,20324.800757999998
2018-02-01,402799.8837933,326367.49146667,729167.37525997,622405.83485654,1351573.2101165,1188658.2127643,2540231.4228808,60913.425226,126527.276544,38930.103586,80879.769734,47753.381404,99177.794208,10696.734432,22222.167343,13160.043822,27349.482335999986
2018-03-01,403217.9954429,340443.01111451,743661.00655741,631862.31211966,1375523.3186771,1188847.6654994,2564370.9841764,65859.050199,137101.476084,44651.365241,92953.389167,47986.308953,99890.207212,12528.749293,26080.922879,17872.741246000005,37211.268872
2018-04-01,411658.8571358,325623.95909362,737282.81622942,626817.21024868,1364100.0264781,1147652.163467,2511752.1899451,60296.756646,125400.031501,39662.029496,82435.516093,45113.026529,93726.988941,11293.152332,23467.171378,15183.730117,31673.04256
2018-05-01,425006.0939553,333080.18351585,758086.27747115,636801.62992856,1394887.9073997,1137295.0211075,2532182.9285072,67602.012668,139672.542073,50597.090897,104527.365507,44698.787141,92357.866979,11891.954177,24563.345273,22903.225526999995,47314.67509399999
2018-06-01,444864.8246869,338336.50010473,783201.32479163,630172.28760824,1413373.6123999,1150013.1827329,2563386.7951328,79236.40595,164200.465308,60061.308373,124460.619062,36690.220866,76018.054276,11216.21176,23242.515811,42546.185084,88182.41103200002
